PuzzleId,FEN,Moves,Rating,Themes
0Y3p9,2k5/pp1n1Qp1/2p5/8/3PN3/5p1r/PP4Pq/2R1KR2 w - - 1 25,c1c2 f3g2 c2g2 h2g2,1619,advancedPawn advantage middlegame short
0Tpj8,3r2k1/1p3rpp/p3R3/2p1P3/4NP2/2P5/PP2n1PP/5RK1 w - - 1 22,g1h1 f7f4 f1b1 f4e4,1706,advantage endgame short
0PUZz,4r1k1/5pbp/6p1/1q6/3P4/6P1/1nQ2PBP/1R4K1 w - - 0 25,c2b2 e8e1 b1e1 b5b2,1183,advantage deflection endgame short
006cZ,3r1rk1/1p4p1/p1p3Qp/2q5/8/3n1N1P/PP1R2P1/5R1K b - - 7 28,g8h8 d2d3 d8d3 g6d3,1374,advantage master masterVsMaster middlegame short
01mvq,4r1k1/pp3ppp/1q4b1/1Nb3B1/2Q5/2P4P/PP3PP1/R5K1 w - - 1 24,g5h4 e8e4 b5d4 e4h4,1695,crushing interference middlegame short
0M7kz,r3rk2/pppb2p1/3P1n1p/8/2BQNq2/8/PPP3PP/5RK1 b - - 2 18,f4e4 f1f6 g7f6 d4f6,1133,mate mateIn2 middlegame short
0XqCg,r4k1r/p2pb3/1p3PQp/2p1P3/PB5P/5q2/1PK5/8 b - - 0 32,c5b4 g6g7 f8e8 g7e7,1496,endgame fork mate mateIn2 short
02MOC,r2q2k1/ppp3pp/8/1BQN1r2/8/8/PP1P1P1P/n1B3K1 b - - 0 19,d8d5 b5c4 d5c4 c5c4,1295,advantage middlegame pin short
0GFOg,2r3k1/ppq2p2/5bpp/1N2p3/1P6/P1p1P2P/2Q2PP1/3R2K1 b - - 0 24,c7c6 b5a7 c6e6 a7c8,1256,advantage endgame fork short
0BTgM,r1bqr1k1/p2nbpp1/4p2p/3p3n/P1PPP3/1Np2NB1/2B1QPPP/R3K2R b KQ - 1 15,d5e4 e2e4 d7f6 e4a8,1565,advantage middlegame short trappedPiece
0ZipG,4r2k/1p4p1/p6p/5r2/4N1q1/1P1P2P1/P1P3QP/2R4K w - - 7 35,e4d6 e8e2 d6f5 e2g2,1464,advantage endgame short
0S43V,3k4/6R1/4pn1p/P2b2p1/3P3K/4P3/7P/8 w - - 0 41,h4g3 f6h5 g3f2 h5g7,1128,crushing endgame fork short
0TaOr,r3r3/pppn1pk1/3p1q1p/3P2p1/2P3P1/1P5P/P2Q1PB1/R3R1K1 w - - 0 19,g2e4 e8e4 e1e4 f6a1,1041,crushing deflection middlegame short
09Wol,8/8/6kp/3K2b1/2P2p2/5P2/6PP/8 b - - 1 53,g5e7 c4c5 g6f7 c5c6,1589,bishopEndgame crushing endgame master quietMove short
0S1f1,5k2/2q2p2/7p/5Q2/Pp3N2/2p3PP/2B4K/4r3 b - - 0 38,c7e7 f4g6 f8e8 g6e7,1451,crushing endgame pin short
0ULZz,2r1r3/ppp2p1k/2q3p1/7N/8/P1BBPbP1/1PP2P1R/R5K1 b - - 0 23,f3h5 h2h5 h7g8 h5h8,1228,mate mateIn2 middlegame operaMate pin short
0QfXt,r1b1k2r/1p1qbpp1/p1n1p2p/8/P2P1P2/5B2/1P3RPP/R1BQ2K1 b kq - 0 17,d7d4 f3c6 b7c6 d1d4,952,crushing intermezzo opening short
0Fc8O,1q3kr1/1p3p2/1p1p4/2n1p2R/2Pn4/3B4/P5PP/R2Q2K1 w - - 3 26,d1d2 d4f3 g1h1 f3d2,1003,crushing middlegame pin short
00lap,8/8/2k3P1/R7/P2p2rp/3K4/8/8 b - - 0 45,g4g6 a5a6 c6d7 a6g6,947,crushing endgame master rookEndgame short skewer
01zIg,5k2/2p3p1/p1p4p/4N1b1/8/2P1p3/PP2K2P/8 b - - 1 35,g5f4 e5g6 f8e8 g6f4,1055,advantage endgame fork master short
0FnjI,3r1k1r/p4p2/2QN4/4P3/3q1n2/8/PP3RP1/5BK1 b - - 6 30,f4h3 g2h3 h8g8 f1g2,1212,crushing defensiveMove middlegame short
07Q6K,2k3r1/pp5q/2p5/8/1b4n1/1P1RPBP1/PB2KP2/R7 b - - 3 27,g8d8 f3g4 c8c7 b2e5,1698,crushing hangingPiece middlegame short
